|Song ID|Name                               |Artist                       |Genre      |spotify_api                                                                |Vibe|
|-------|-----------------------------------|-----------------------------|-----------|---------------------------------------------------------------------------|----|
|4      |'Summer Feelings'                  |'Lennon Stella, Charlie Puth'|'Pop'      |'https://open.spotify.com/track/49dFIRQCQxPWgoH0m38XQ5?si=4598103160374ca6'|2   |
|5      |'Rude'                             |'MAGIC!'                     |'Regae'    |'https://open.spotify.com/track/6RtPijgfPKROxEzTHNRiDp?si=0b4b1b13643c41b1'|2   |
|6      |'You Make My Dreams (Come True)'   |'Daryl Hall & John Oates'    |'Pop"      |'https://open.spotify.com/track/4o6BgsqLIBViaGVbx5rbRk?si=9f93dada81974d4f'|2   |
|1      |'The A team'                       |'Ed Sheeran'                 |'Folk'     |'https://open.spotify.com/embed/track/1XpYodsD36XN7ygcdF7mJJ'              |1   |
|2      |'Big Black Car'                    |'Gregory Alan Isakov'        |'Folk'     |'https://open.spotify.com/embed/artist/5sXaGoRLSpd7VeyZrLkKwt'             |1   |
|3      |'The Boxer'                        |'Simon & Garfunkle'          |'Folk      |'https://open.spotify.com/embed/track/76TZCvJ8GitQ2FA1q5dKu0'              |1   |
|7      |'All I Want for Christmas is You'  |'Mariah Carey'               |'Christmas'|'https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn?si=b7104acf7127411f'|3   |
|8      |'The Christmas Song'               |'Nat King Cole'              |'Christmas'|'https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON?si=0f312b28f16b4d8a'|3   |
|9      |'Jingle Bells'                     |'Frank Sinatra'              |'Christmas'|'https://open.spotify.com/track/4KV9bM7a1KDc7b7OakFZic?si=586d0eb58c7b411b'|3   |
|10     |'Raindrops Keep Fallin' On My Head'|'B.J. Thomas'                |'Pop'      |'https://open.spotify.com/track/0oMTxTIHAt3hstaoObsmFs?si=f9348b7dbdb44ccf'|4   |
|11     |'It Will Rain'                     |'Bruno Mars'                 |'Pop'      |'https://open.spotify.com/track/0RUGuh2uSNFJpGMSsD1F5C?si=fa815ad35f3c49ac'|4   |
|12     |'It's Raining Men'                 |'The Weather Girls'          |'Pop'      |'https://open.spotify.com/track/2IvetNzSZMH5gwjInoyr18?si=337098dc256c43db'|4   |
